flight_duty_time_start_time,flight_duty_time_end_time,1,2,3,4,5,6,7,8,9,10
00:00:00,04:59:00,11.0,11.0,10.5,10.0,9.5,9.0,9.0,9.0,9.0,9.0
05:00:00,05:14:00,12.0,12.0,11.5,11.0,10.5,10.0,9.5,9.0,9.0,9.0
05:15:00,05:29:00,12.25,12.25,11.75,11.25,10.75,10.25,9.75,9.25,9.0,9.0
05:30:00,05:44:00,12.25,12.25,11.75,11.25,10.75,10.25,9.75,9.25,9.0,9.0
05:45:00,05:59:00,12.75,12.75,12.25,11.75,11.75,11.25,10.25,9.75,9.25,9.0
06:00:00,13:29:00,13.0,13.0,12.5,12.0,11.5,11.0,10.5,10.0,9.5,9.0
13:30:00,13:59:00,12.75,12.75,12.25,11.75,11.25,10.75,10.25,9.75,9.25,9.0
14:00:00,14:29:00,12.5,12.5,12.0,11.5,11.0,10.5,10.0,9.5,9.0,9.0
14:30:00,14:59:00,12.25,12.25,11.75,11.25,10.75,10.25,9.75,9.25,9.0,9.0
15:00:00,15:29:00,12.0,12.0,11.5,11.0,10.5,10.0,9.5,9.0,9.0,9.0
15:30:00,15:59:00,11.75,11.75,11.25,10.75,10.25,9.75,9.25,9.0,9.0,9.0
16:00:00,16:29:00,11.5,11.5,11.0,10.5,10.0,9.5,9.0,9.0,9.0,9.0
16:30:00,16:59:00,11.25,11.25,10.75,10.25,9.75,9.25,9.0,9.0,9.0,9.0
17:00:00,23:59:00,11.0,11.0,10.5,10.0,9.5,9.0,9.0,9.0,9.0,9.0
