flight_leg,assigned_pairing_id,roster_duty_type
3504618798,EMERGENCY_STUB_3504618798,OPERATING_STUB_WARNING
3504618858,EMERGENCY_STUB_3504618858,OPERATING_STUB_WARNING
3504618861,EMERGENCY_STUB_3504618861,OPERATING_STUB_WARNING
3504618863,EMERGENCY_STUB_3504618863,OPERATING_STUB_WARNING
3504618878,EMERGENCY_STUB_3504618878,OPERATING_STUB_WARNING
3504618888,EMERGENCY_STUB_3504618888,OPERATING_STUB_WARNING
3504618890,EMERGENCY_STUB_3504618890,OPERATING_STUB_WARNING
3504618914,EMERGENCY_STUB_3504618914,OPERATING_STUB_WARNING
3504618918,EMERGENCY_STUB_3504618918,OPERATING_STUB_WARNING
3504618919,EMERGENCY_STUB_3504618919,OPERATING_STUB_WARNING
3504618941,EMERGENCY_STUB_3504618941,OPERATING_STUB_WARNING
3504618949,EMERGENCY_STUB_3504618949,OPERATING_STUB_WARNING
3504618951,EMERGENCY_STUB_3504618951,OPERATING_STUB_WARNING
3504618981,EMERGENCY_STUB_3504618981,OPERATING_STUB_WARNING
3504618989,EMERGENCY_STUB_3504618989,OPERATING_STUB_WARNING
3504618990,EMERGENCY_STUB_3504618990,OPERATING_STUB_WARNING
3504618993,EMERGENCY_STUB_3504618993,OPERATING_STUB_WARNING
3504618994,EMERGENCY_STUB_3504618994,OPERATING_STUB_WARNING
3504619000,EMERGENCY_STUB_3504619000,OPERATING_STUB_WARNING
3504619001,EMERGENCY_STUB_3504619001,OPERATING_STUB_WARNING
3504619002,EMERGENCY_STUB_3504619002,OPERATING_STUB_WARNING
3504619003,EMERGENCY_STUB_3504619003,OPERATING_STUB_WARNING
3504619004,EMERGENCY_STUB_3504619004,OPERATING_STUB_WARNING
3504619009,EMERGENCY_STUB_3504619009,OPERATING_STUB_WARNING
3504619105,EMERGENCY_STUB_3504619105,OPERATING_STUB_WARNING
3504619109,EMERGENCY_STUB_3504619109,OPERATING_STUB_WARNING
3504619122,EMERGENCY_STUB_3504619122,OPERATING_STUB_WARNING
3504619130,EMERGENCY_STUB_3504619130,OPERATING_STUB_WARNING
