Pairing_ID,Deployment_Type,Total_Operating_Sectors,Flight_Leg_Sequence,Itinerary_Chain,Passive_Deadheads_Assigned
EMERGENCY_STUB_3504618798,Emergency Fallback Stub,1,[3504618798],CGN➔LPA,0
EMERGENCY_STUB_3504618858,Emergency Fallback Stub,1,[3504618858],CGN➔VCE,0
EMERGENCY_STUB_3504618861,Emergency Fallback Stub,1,[3504618861],CGN➔MXP,0
EMERGENCY_STUB_3504618863,Emergency Fallback Stub,1,[3504618863],CGN➔VRN,0
EMERGENCY_STUB_3504618878,Emergency Fallback Stub,1,[3504618878],CGN➔ALC,0
EMERGENCY_STUB_3504618888,Emergency Fallback Stub,1,[3504618888],DBV➔CGN,0
EMERGENCY_STUB_3504618890,Emergency Fallback Stub,1,[3504618890],CGN➔SPU,0
EMERGENCY_STUB_3504618914,Emergency Fallback Stub,1,[3504618914],BER➔DWC,0
EMERGENCY_STUB_3504618918,Emergency Fallback Stub,1,[3504618918],STR➔DWC,0
EMERGENCY_STUB_3504618919,Emergency Fallback Stub,1,[3504618919],DWC➔STR,0
EMERGENCY_STUB_3504618941,Emergency Fallback Stub,1,[3504618941],STR➔NCE,0
EMERGENCY_STUB_3504618949,Emergency Fallback Stub,1,[3504618949],EDI➔STR,0
EMERGENCY_STUB_3504618951,Emergency Fallback Stub,1,[3504618951],OTP➔STR,0
EMERGENCY_STUB_3504618981,Emergency Fallback Stub,1,[3504618981],ATH➔STR,0
EMERGENCY_STUB_3504618989,Emergency Fallback Stub,1,[3504618989],STR➔DUB,0
EMERGENCY_STUB_3504618990,Emergency Fallback Stub,1,[3504618990],DUB➔STR,0
EMERGENCY_STUB_3504618993,Emergency Fallback Stub,1,[3504618993],STR➔CTA,0
EMERGENCY_STUB_3504618994,Emergency Fallback Stub,1,[3504618994],CTA➔STR,0
EMERGENCY_STUB_3504619000,Emergency Fallback Stub,1,[3504619000],FCO➔STR,0
EMERGENCY_STUB_3504619001,Emergency Fallback Stub,1,[3504619001],STR➔TIA,0
EMERGENCY_STUB_3504619002,Emergency Fallback Stub,1,[3504619002],TIA➔STR,0
EMERGENCY_STUB_3504619003,Emergency Fallback Stub,1,[3504619003],STR➔SPU,0
EMERGENCY_STUB_3504619004,Emergency Fallback Stub,1,[3504619004],SPU➔STR,0
EMERGENCY_STUB_3504619009,Emergency Fallback Stub,1,[3504619009],HAJ➔LPA,0
EMERGENCY_STUB_3504619105,Emergency Fallback Stub,1,[3504619105],GRZ➔HAM,0
EMERGENCY_STUB_3504619109,Emergency Fallback Stub,1,[3504619109],HAM➔GRZ,0
EMERGENCY_STUB_3504619122,Emergency Fallback Stub,1,[3504619122],ARN➔STR,0
EMERGENCY_STUB_3504619130,Emergency Fallback Stub,1,[3504619130],BER➔ARN,0
EMERGENCY_STUB_3504619147,Emergency Fallback Stub,1,[3504619147],DUS➔PRN,0
EMERGENCY_STUB_3504619148,Emergency Fallback Stub,1,[3504619148],PRN➔DUS,0
EMERGENCY_STUB_3504619149,Emergency Fallback Stub,1,[3504619149],STR➔PRN,0
EMERGENCY_STUB_3504619150,Emergency Fallback Stub,1,[3504619150],PRN➔STR,0
EMERGENCY_STUB_3504619213,Emergency Fallback Stub,1,[3504619213],HAM➔CDG,0
EMERGENCY_STUB_3504619214,Emergency Fallback Stub,1,[3504619214],CDG➔HAM,0
EMERGENCY_STUB_3504619215,Emergency Fallback Stub,1,[3504619215],HAM➔NCE,0
EMERGENCY_STUB_3504619233,Emergency Fallback Stub,1,[3504619233],HAM➔OPO,0
EMERGENCY_STUB_3504619274,Emergency Fallback Stub,1,[3504619274],HAM➔FAO,0
EMERGENCY_STUB_3504619278,Emergency Fallback Stub,1,[3504619278],HAM➔VIE,0
EMERGENCY_STUB_3504619284,Emergency Fallback Stub,1,[3504619284],HAM➔MAN,0
EMERGENCY_STUB_3504619288,Emergency Fallback Stub,1,[3504619288],HAM➔VCE,0
EMERGENCY_STUB_3504619300,Emergency Fallback Stub,1,[3504619300],BER➔GOT,0
EMERGENCY_STUB_3504619302,Emergency Fallback Stub,1,[3504619302],BER➔HEL,0
EMERGENCY_STUB_3504619316,Emergency Fallback Stub,1,[3504619316],BER➔IBZ,0
EMERGENCY_STUB_3504619328,Emergency Fallback Stub,1,[3504619328],EVN➔BER,0
EMERGENCY_STUB_3504619329,Emergency Fallback Stub,1,[3504619329],DUS➔GWT,0
EMERGENCY_STUB_3504619343,Emergency Fallback Stub,1,[3504619343],DUS➔ARN,0
EMERGENCY_STUB_3504619347,Emergency Fallback Stub,1,[3504619347],DUS➔CPH,0
EMERGENCY_STUB_3504619350,Emergency Fallback Stub,1,[3504619350],DUS➔BHX,0
