LEG_ID,DEPARTURE_AIRPORT,ARRIVAL_AIRPORT,SCHEDULED_DEPARTURE_TIME,SCHEDULED_ARRIVAL_TIME,AIRCRAFT_TYPE
3504618788,CGN,BER,2025-04-27 15:55:00,2025-04-27 17:05:00,319
3504618789,BER,CGN,2025-04-27 17:40:00,2025-04-27 18:45:00,319
3504618790,CGN,BER,2025-04-27 16:45:00,2025-04-27 17:55:00,737
3504618791,BER,CGN,2025-04-27 18:35:00,2025-04-27 19:40:00,737
3504618792,CGN,FUE,2025-04-27 07:00:00,2025-04-27 11:30:00,320
3504618793,FUE,CGN,2025-04-27 12:20:00,2025-04-27 16:30:00,320
3504618794,CGN,TFS,2025-04-27 07:35:00,2025-04-27 12:25:00,320
3504618795,TFS,CGN,2025-04-27 13:10:00,2025-04-27 17:40:00,320
3504618796,CGN,ACE,2025-04-27 07:30:00,2025-04-27 11:50:00,737
3504618797,ACE,CGN,2025-04-27 12:50:00,2025-04-27 17:05:00,737
3504618798,CGN,LPA,2025-04-27 06:00:00,2025-04-27 10:45:00,737
3504618799,LPA,CGN,2025-04-27 11:35:00,2025-04-27 15:55:00,737
3504618800,CGN,EDI,2025-04-27 18:55:00,2025-04-27 20:45:00,737
3504618801,EDI,CGN,2025-04-27 21:30:00,2025-04-27 23:15:00,737
3504618802,TUN,CGN,2025-04-27 02:10:00,2025-04-27 04:40:00,737
3504618803,CGN,NDR,2025-04-27 22:10:00,2025-04-28 01:10:00,737
3504618804,CGN,NCE,2025-04-27 18:05:00,2025-04-27 19:50:00,320
3504618805,NCE,CGN,2025-04-27 20:35:00,2025-04-27 22:15:00,320
3504618806,CGN,LHR,2025-04-27 13:35:00,2025-04-27 15:05:00,319
3504618807,LHR,CGN,2025-04-27 15:45:00,2025-04-27 17:05:00,319
3504618808,CGN,LHR,2025-04-27 18:35:00,2025-04-27 20:05:00,319
3504618812,CGN,BCN,2025-04-27 18:00:00,2025-04-27 20:10:00,320
3504618809,LHR,CGN,2025-04-27 21:00:00,2025-04-27 22:20:00,319
3504618810,CGN,SJJ,2025-04-27 05:00:00,2025-04-27 06:50:00,737
3504618811,SJJ,CGN,2025-04-27 07:40:00,2025-04-27 09:40:00,737
