captain_id,home_base
640,DUS
790,HAM
708,DUS
636,NUE
690,HAM
936,DUS
775,CGN
139,STR
309,DUS
422,STR
433,STR
820,STR
577,CGN
43,CGN
607,HAM
380,DUS
903,DUS
652,STR
153,DUS
72,HAM
891,DUS
657,CGN
208,BER
280,STR
246,HAM
592,CGN
189,STR
164,BER
711,DUS
724,STR
768,STR
464,CGN
930,HAM
923,HAM
336,BER
870,STR
917,CGN
920,STR
23,HAM
107,BER
109,DUS
595,HAM
403,DUS
24,STR
63,DUS
116,DUS
748,CGN
48,HAM
352,DUS
102,DUS
720,HAM
543,HAJ
437,HAM
38,DUS
523,HAM
937,HAJ
938,HAM
755,DUS
681,DUS
837,HAM
335,HAM
435,HAM
297,DUS
825,DUS
939,CGN
611,CGN
689,BER
485,CGN
489,STR
81,HAM
835,DUS
329,DUS
198,DUS
839,BER
675,CGN
821,DUS
251,HAM
555,DUS
96,DUS
902,BER
421,STR
556,CGN
909,DUS
729,HAM
880,CGN
248,HAM
933,STR
388,HAM
19,HAM
838,BER
328,CGN
201,DUS
661,STR
496,HAM
846,STR
34,HAM
87,HAM
183,BER
28,DUS
108,DUS
136,DUS
178,HAM
624,CGN
270,DUS
401,DUS
919,CGN
469,DUS
696,DUS
584,HAM
712,DUS
404,DUS
803,STR
330,DUS
756,STR
97,DUS
33,STR
854,STR
320,DUS
50,DUS
159,STR
940,CGN
927,CGN
742,DUS
826,STR
691,BER
256,CGN
193,DUS
461,HAM
344,BER
172,HAM
76,DUS
529,HAM
142,HAM
327,STR
679,DUS
801,CGN
133,STR
400,DUS
613,STR
743,DUS
874,CGN
74,HAM
557,HAM
658,STR
857,DUS
694,BER
916,CGN
95,DUS
5,DUS
898,HAM
558,STR
92,BER
36,DUS
167,HAM
547,STR
507,HAM
45,DUS
347,DUS
49,DUS
929,DUS
941,DUS
883,DUS
942,DUS
943,STR
918,BER
86,DUS
134,STR
596,HAM
371,STR
656,DUS
750,HAM
29,STR
68,CGN
578,CGN
89,STR
70,STR
197,HAM
830,STR
375,BER
944,DUS
129,CGN
411,HAM
510,DUS
610,HAM
12,DUS
869,DUS
907,BER
466,CGN
8,HAM
138,STR
745,BER
250,STR
176,STR
824,DUS
115,STR
341,BER
7,DUS
412,HAM
590,HAM
171,CGN
945,DUS
163,STR
508,BER
42,DUS
61,STR
73,DUS
465,CGN
313,BER
861,CGN
119,CGN
751,DUS
389,HAM
10,DUS
553,STR
39,STR
866,NUE
41,CGN
922,CGN
581,DUS
101,HAM
432,HAM
583,DUS
394,BER
132,CGN
946,BER
582,HAM
199,BER
730,HAM
22,STR
205,STR
35,DUS
719,CGN
415,HAM
863,DUS
355,CGN
143,DUS
57,DUS
64,STR
524,DUS
890,STR
37,DUS
723,DUS
148,BER
925,CGN
448,DUS
873,STR
504,HAM
876,DUS
312,DUS
628,STR
879,DUS
931,HAM
190,DUS
55,DUS
505,STR
69,DUS
127,HAM
160,CGN
351,DUS
13,CGN
359,DUS
493,DUS
537,CGN
603,DUS
817,DUS
349,STR
629,DUS
710,DUS
104,DUS
390,DUS
686,DUS
593,DUS
350,STR
864,STR
120,STR
836,CGN
721,DUS
623,DUS
184,DUS
872,HAM
181,HAM
187,HAM
253,DUS
62,DUS
928,CGN
123,BER
621,DUS
83,DUS
521,DUS
685,DUS
926,BER
276,DUS
65,CGN
716,HAM
889,STR
3,HAM
702,DUS
715,BER
834,HAM
506,STR
674,BER
503,DUS
840,CGN
44,CGN
26,DUS
409,DUS
882,DUS
635,CGN
722,CGN
638,DUS
168,DUS
200,STR
162,CGN
625,HAM
570,DUS
875,DUS
429,DUS
165,STR
141,STR
947,CGN
560,DUS
454,CGN
769,DUS
47,DUS
948,MUC
683,STR
842,STR
155,STR
572,STR
20,DUS
11,DUS
262,DUS
949,DUS
865,STR
383,BER
950,STR
135,DUS
895,HAM
80,DUS
334,CGN
98,CGN
365,BER
561,BER
9,HAM
140,HAM
741,DUS
499,HAM
363,CGN
58,DUS
271,DUS
131,DUS
509,DUS
709,STR
173,HAM
513,CGN
569,STR
442,STR
815,HAM
245,CGN
40,CGN
703,CGN
14,STR
921,STR
137,CGN
144,DUS
66,CGN
192,HAM
682,STR
495,STR
653,DUS
597,DUS
455,CGN
788,CGN
843,CGN
951,DUS
517,STR
894,DUS
267,STR
616,DUS
126,STR
391,BER
16,DUS
858,CGN
845,BER
161,CGN
54,STR
130,CGN
612,CGN
177,CGN
15,BER
377,HAM
567,CGN
374,STR
511,HAM
449,HAM
362,CGN
307,DUS
627,HAM
182,DUS
522,CGN
67,DUS
346,STR
678,BER
847,STR
725,HAM
726,STR
122,STR
692,DUS
46,DUS
667,DUS
88,STR
699,BER
704,DUS
744,HAM
871,BER
94,STR
663,DUS
828,DUS
867,STR
84,DUS
512,HAM
361,STR
6,HAM
82,DUS
93,BER
191,DUS
194,STR
269,HAM
460,HAM
170,DUS
175,HAM
714,DUS
