pairing_id,covered_legs,total_cost,duty_itineraries
duty_seed_1,"[3504638665, 3504638666]",185.0,['DUS ➔ HAM ➔ DUS']
duty_seed_3,"[3504676810, 3504676811]",197.5,['HAM ➔ DUS ➔ HAM']
duty_seed_4,"[3504618840, 3504618841]",202.5,['CGN ➔ ZRH ➔ CGN']
duty_seed_5,"[3504638149, 3504638150]",202.5,['CGN ➔ ZRH ➔ CGN']
duty_seed_6,"[3504657630, 3504657631]",202.5,['CGN ➔ ZRH ➔ CGN']
duty_seed_7,"[3504676270, 3504676272]",202.5,['CGN ➔ ZRH ➔ CGN']
duty_seed_8,"[3504619306, 3504619307]",205.0,['BER ➔ SZG ➔ BER']
duty_seed_9,"[3504638671, 3504638672]",207.5,['DUS ➔ BER ➔ DUS']
duty_seed_10,"[3504638091, 3504638094]",207.5,['CGN ➔ BER ➔ CGN']
duty_seed_12,"[3504638667, 3504638670]",210.0,['DUS ➔ HAM ➔ DUS']
duty_seed_13,"[3504658129, 3504658130]",212.5,['DUS ➔ MUC ➔ DUS']
duty_seed_14,"[3504658131, 3504658132]",212.5,['DUS ➔ MUC ➔ DUS']
duty_seed_15,"[3504658133, 3504658134]",212.5,['DUS ➔ MUC ➔ DUS']
duty_seed_17,"[3505310278, 3505310277]",215.0,['DUS ➔ BER ➔ DUS']
duty_seed_18,"[3504618842, 3504618848]",217.5,['CGN ➔ PRG ➔ CGN']
duty_seed_19,"[3504619073, 3504619068]",217.5,['DUS ➔ SZG ➔ DUS']
duty_seed_20,"[3504638800, 3504638801]",217.5,['DUS ➔ ZRH ➔ DUS']
duty_seed_21,"[3504658243, 3504658244]",217.5,['DUS ➔ ZRH ➔ DUS']
duty_seed_22,"[3504676937, 3504676938]",217.5,['DUS ➔ ZRH ➔ DUS']
duty_seed_23,"[3505310422, 3505310423]",217.5,['DUS ➔ ZRH ➔ DUS']
duty_seed_24,"[3505309610, 3505309611]",220.0,['DUS ➔ MUC ➔ DUS']
duty_seed_26,"[3504638354, 3504638353]",222.5,['HAM ➔ SZG ➔ HAM']
duty_seed_28,"[3504657910, 3504657656]",222.5,['HAM ➔ STR ➔ HAM']
duty_seed_29,"[3504657772, 3504657774]",222.5,['STR ➔ VIE ➔ STR']
duty_seed_31,"[3505309727, 3505309728]",225.0,['DUS ➔ PRG ➔ DUS']
duty_seed_32,"[3504676338, 3504676339]",227.5,['HAM ➔ STR ➔ HAM']
duty_seed_33,"[3504618788, 3504618791]",230.0,['CGN ➔ BER ➔ CGN']
duty_seed_35,"[3504657940, 3504657949]",232.5,['HAM ➔ MUC ➔ HAM']
duty_seed_36,"[3504676828, 3504676829]",232.5,['DUS ➔ CPH ➔ DUS']
duty_seed_38,"[3504676467, 3504676474]",232.5,['STR ➔ ZAG ➔ STR']
duty_seed_40,"[3504658150, 3504658151]",235.0,['BHX ➔ DUS ➔ BHX']
duty_seed_41,"[3504676835, 3504676836]",235.0,['BHX ➔ DUS ➔ BHX']
duty_seed_42,"[3505310025, 3505310026]",235.0,['HAM ➔ STR ➔ HAM']
duty_seed_43,"[3504619372, 3504619373]",237.5,['DUS ➔ LHR ➔ DUS']
duty_seed_44,"[3504638089, 3504638094]",237.5,['CGN ➔ BER ➔ CGN']
duty_seed_45,"[3504638728, 3504638729]",237.5,['DUS ➔ LHR ➔ DUS']
duty_seed_48,"[3504658175, 3504658176]",237.5,['DUS ➔ LHR ➔ DUS']
duty_seed_49,"[3504676864, 3504676865]",237.5,['DUS ➔ LHR ➔ DUS']
duty_seed_50,"[3504676343, 3504676344]",237.5,['STR ➔ NCE ➔ STR']
duty_seed_51,"[3505309649, 3505309650]",237.5,['DUS ➔ LHR ➔ DUS']
duty_seed_52,"[3505310354, 3505310355]",237.5,['DUS ➔ LHR ➔ DUS']
duty_seed_53,"[3504619280, 3504619281]",242.5,['HAM ➔ ZRH ➔ HAM']
duty_seed_54,"[3504619282, 3504619283]",242.5,['HAM ➔ ZRH ➔ HAM']
duty_seed_55,"[3504638554, 3504638555]",242.5,['HAM ➔ ZRH ➔ HAM']
duty_seed_56,"[3504658069, 3504658070]",242.5,['HAM ➔ ZRH ➔ HAM']
duty_seed_57,"[3504676749, 3504676750]",242.5,['HAM ➔ ZRH ➔ HAM']
duty_seed_58,"[3505309556, 3505309557]",242.5,['HAM ➔ ZRH ➔ HAM']
duty_seed_59,"[3505310259, 3505310260]",242.5,['HAM ➔ ZRH ➔ HAM']
duty_seed_60,"[3504676673, 3504676680]",245.0,['MUC ➔ HAM ➔ MUC']
duty_seed_61,"[3504618808, 3504618809]",247.5,['CGN ➔ LHR ➔ CGN']
duty_seed_63,"[3504638109, 3504638110]",247.5,['CGN ➔ LHR ➔ CGN']
duty_seed_64,"[3504657596, 3504657597]",247.5,['CGN ➔ LHR ➔ CGN']
duty_seed_65,"[3504676207, 3504676208]",247.5,['CGN ➔ LHR ➔ CGN']
duty_seed_66,"[3505309316, 3505309317]",247.5,['CGN ➔ MXP ➔ CGN']
duty_seed_67,"[3505309268, 3505309269]",247.5,['CGN ➔ LHR ➔ CGN']
duty_seed_68,"[3505309964, 3505309965]",247.5,['CGN ➔ LHR ➔ CGN']
