flight_legs,itinerary,origin_airport,destination_airport,start_time,end_time,fdt_duration,sectors,ground_transit_mins,duty_cost
"[3504619488, 3504619464]",RAK ➔ DUS ➔ OTP,RAK,OTP,60.0,590.0,500.0,2,0.0,607.5
"[3504619488, 3504619358]",RAK ➔ DUS ➔ NCE,RAK,NCE,60.0,560.0,470.0,2,0.0,572.5
"[3504619488, 3504619366]",RAK ➔ DUS ➔ LHR,RAK,LHR,60.0,535.0,445.0,2,0.0,547.5
"[3504619488, 3504619476]",RAK ➔ DUS ➔ FLR,RAK,FLR,60.0,565.0,475.0,2,0.0,572.5
"[3504619488, 3504619450]",RAK ➔ DUS ➔ KRK,RAK,KRK,60.0,570.0,480.0,2,0.0,575.0
"[3504619488, 3504619147]",RAK ➔ DUS ➔ PRN,RAK,PRN,60.0,635.0,545.0,2,0.0,627.5
"[3504619488, 3504619491]",RAK ➔ DUS ➔ DBV,RAK,DBV,60.0,620.0,530.0,2,0.0,607.5
[3504619488],RAK ➔ DUS,RAK,DUS,60.0,395.0,305.0,1,0.0,435.0
"[3504618802, 3504619448]",TUN ➔ CGN ➔ (CGN🚌DUS) ➔ MLA,TUN,MLA,60.0,605.0,515.0,2,79.8,672.4
"[3504618802, 3504619464]",TUN ➔ CGN ➔ (CGN🚌DUS) ➔ OTP,TUN,OTP,60.0,590.0,500.0,2,79.8,654.9
"[3504618802, 3504619358]",TUN ➔ CGN ➔ (CGN🚌DUS) ➔ NCE,TUN,NCE,60.0,560.0,470.0,2,79.8,619.9
"[3504618802, 3504619366]",TUN ➔ CGN ➔ (CGN🚌DUS) ➔ LHR,TUN,LHR,60.0,535.0,445.0,2,79.8,594.9
"[3504618802, 3504619476]",TUN ➔ CGN ➔ (CGN🚌DUS) ➔ FLR,TUN,FLR,60.0,565.0,475.0,2,79.8,619.9
"[3504618802, 3504619450]",TUN ➔ CGN ➔ (CGN🚌DUS) ➔ KRK,TUN,KRK,60.0,570.0,480.0,2,79.8,622.4
"[3504618802, 3504619147]",TUN ➔ CGN ➔ (CGN🚌DUS) ➔ PRN,TUN,PRN,60.0,635.0,545.0,2,79.8,674.9
"[3504618802, 3504619491]",TUN ➔ CGN ➔ (CGN🚌DUS) ➔ DBV,TUN,DBV,60.0,620.0,530.0,2,79.8,654.9
[3504618802],TUN ➔ CGN,TUN,CGN,60.0,310.0,220.0,1,0.0,350.0
"[3504619328, 3504619316]",EVN ➔ BER ➔ IBZ,EVN,IBZ,65.0,670.0,575.0,2,0.0,670.0
"[3504619194, 3504618819]",HAJ ➔ PMI ➔ CGN,HAJ,CGN,125.0,620.0,465.0,2,0.0,542.5
"[3504619194, 3504618821]",HAJ ➔ PMI ➔ CGN,HAJ,CGN,125.0,705.0,550.0,2,0.0,585.0
"[3504619194, 3504619403]",HAJ ➔ PMI ➔ DUS,HAJ,DUS,125.0,720.0,565.0,2,0.0,592.5
"[3504619194, 3504619245]",HAJ ➔ PMI ➔ HAM,HAJ,HAM,125.0,755.0,600.0,2,0.0,620.0
"[3504619194, 3504619405]",HAJ ➔ PMI ➔ DUS,HAJ,DUS,125.0,745.0,590.0,2,0.0,605.0
"[3504619194, 3504619407]",HAJ ➔ PMI ➔ DUS,HAJ,DUS,125.0,755.0,600.0,2,0.0,610.0
"[3504619194, 3504619248]",HAJ ➔ PMI ➔ HAM,HAJ,HAM,125.0,775.0,620.0,2,0.0,630.0
"[3504619177, 3504618819, 3504618858]",NUE ➔ PMI ➔ CGN ➔ VCE,NUE,VCE,150.0,805.0,625.0,3,0.0,655.0
"[3504619177, 3504618819]",NUE ➔ PMI ➔ CGN,NUE,CGN,150.0,620.0,440.0,2,0.0,520.0
"[3504619177, 3504618821]",NUE ➔ PMI ➔ CGN,NUE,CGN,150.0,705.0,525.0,2,0.0,562.5
"[3504619177, 3504619403]",NUE ➔ PMI ➔ DUS,NUE,DUS,150.0,720.0,540.0,2,0.0,570.0
"[3504619177, 3504619245]",NUE ➔ PMI ➔ HAM,NUE,HAM,150.0,755.0,575.0,2,0.0,597.5
"[3504619177, 3504619405]",NUE ➔ PMI ➔ DUS,NUE,DUS,150.0,745.0,565.0,2,0.0,582.5
"[3504619177, 3504619407]",NUE ➔ PMI ➔ DUS,NUE,DUS,150.0,755.0,575.0,2,0.0,587.5
"[3504619177, 3504619248]",NUE ➔ PMI ➔ HAM,NUE,HAM,150.0,775.0,595.0,2,0.0,607.5
"[3504618818, 3504618819, 3504618878]",CGN ➔ PMI ➔ CGN ➔ ALC,CGN,ALC,185.0,825.0,610.0,3,0.0,687.5
"[3504618818, 3504618819, 3504618858]",CGN ➔ PMI ➔ CGN ➔ VCE,CGN,VCE,185.0,805.0,590.0,3,0.0,642.5
"[3504618818, 3504618819]",CGN ➔ PMI ➔ CGN,CGN,CGN,185.0,620.0,405.0,2,0.0,357.5
"[3504618818, 3504618821]",CGN ➔ PMI ➔ CGN,CGN,CGN,185.0,705.0,490.0,2,0.0,400.0
"[3504618818, 3504619403]",CGN ➔ PMI ➔ DUS,CGN,DUS,185.0,720.0,505.0,2,0.0,557.5
"[3504618818, 3504619245]",CGN ➔ PMI ➔ HAM,CGN,HAM,185.0,755.0,540.0,2,0.0,585.0
"[3504618818, 3504619405]",CGN ➔ PMI ➔ DUS,CGN,DUS,185.0,745.0,530.0,2,0.0,570.0
"[3504618818, 3504619407]",CGN ➔ PMI ➔ DUS,CGN,DUS,185.0,755.0,540.0,2,0.0,575.0
"[3504618818, 3504619248]",CGN ➔ PMI ➔ HAM,CGN,HAM,185.0,775.0,560.0,2,0.0,595.0
"[3504618818, 3504619409]",CGN ➔ PMI ➔ DUS,CGN,DUS,185.0,770.0,555.0,2,0.0,582.5
"[3504618810, 3504618811, 3504618878]",CGN ➔ SJJ ➔ CGN ➔ ALC,CGN,ALC,230.0,825.0,565.0,3,0.0,640.0
"[3504618810, 3504618811, 3504618858]",CGN ➔ SJJ ➔ CGN ➔ VCE,CGN,VCE,230.0,805.0,545.0,3,0.0,595.0
"[3504618810, 3504618811]",CGN ➔ SJJ ➔ CGN,CGN,CGN,230.0,610.0,350.0,2,0.0,305.0
"[3504619013, 3504618821]",HAJ ➔ PMI ➔ CGN,HAJ,CGN,235.0,705.0,440.0,2,0.0,530.0
"[3504619013, 3504619403]",HAJ ➔ PMI ➔ DUS,HAJ,DUS,235.0,720.0,455.0,2,0.0,537.5
"[3504619013, 3504619245]",HAJ ➔ PMI ➔ HAM,HAJ,HAM,235.0,755.0,490.0,2,0.0,565.0
"[3504619013, 3504619405]",HAJ ➔ PMI ➔ DUS,HAJ,DUS,235.0,745.0,480.0,2,0.0,550.0
"[3504619013, 3504619407]",HAJ ➔ PMI ➔ DUS,HAJ,DUS,235.0,755.0,490.0,2,0.0,555.0
"[3504619013, 3504619248]",HAJ ➔ PMI ➔ HAM,HAJ,HAM,235.0,775.0,510.0,2,0.0,575.0
"[3504619013, 3504619409]",HAJ ➔ PMI ➔ DUS,HAJ,DUS,235.0,770.0,505.0,2,0.0,562.5
"[3504618820, 3504618821]",CGN ➔ PMI ➔ CGN,CGN,CGN,235.0,705.0,440.0,2,0.0,375.0
"[3504618820, 3504619403]",CGN ➔ PMI ➔ DUS,CGN,DUS,235.0,720.0,455.0,2,0.0,532.5
"[3504618820, 3504619245]",CGN ➔ PMI ➔ HAM,CGN,HAM,235.0,755.0,490.0,2,0.0,560.0
"[3504618820, 3504619405]",CGN ➔ PMI ➔ DUS,CGN,DUS,235.0,745.0,480.0,2,0.0,545.0
"[3504618820, 3504619407]",CGN ➔ PMI ➔ DUS,CGN,DUS,235.0,755.0,490.0,2,0.0,550.0
"[3504618820, 3504619248]",CGN ➔ PMI ➔ HAM,CGN,HAM,235.0,775.0,510.0,2,0.0,570.0
"[3504618820, 3504619409]",CGN ➔ PMI ➔ DUS,CGN,DUS,235.0,770.0,505.0,2,0.0,557.5
"[3504618822, 3504618821]",CGN ➔ PMI ➔ CGN,CGN,CGN,240.0,705.0,435.0,2,0.0,372.5
"[3504618822, 3504619403]",CGN ➔ PMI ➔ DUS,CGN,DUS,240.0,720.0,450.0,2,0.0,530.0
"[3504618822, 3504619245]",CGN ➔ PMI ➔ HAM,CGN,HAM,240.0,755.0,485.0,2,0.0,557.5
"[3504618822, 3504619405]",CGN ➔ PMI ➔ DUS,CGN,DUS,240.0,745.0,475.0,2,0.0,542.5
"[3504618822, 3504619407]",CGN ➔ PMI ➔ DUS,CGN,DUS,240.0,755.0,485.0,2,0.0,547.5
"[3504618822, 3504619248]",CGN ➔ PMI ➔ HAM,CGN,HAM,240.0,775.0,505.0,2,0.0,567.5
"[3504618822, 3504619409]",CGN ➔ PMI ➔ DUS,CGN,DUS,240.0,770.0,500.0,2,0.0,555.0
"[3504618834, 3504618835]",CGN ➔ HER ➔ CGN,CGN,CGN,275.0,820.0,515.0,2,0.0,472.5
"[3504618834, 3504619277]",CGN ➔ HER ➔ HAM,CGN,HAM,275.0,855.0,550.0,2,0.0,642.5
"[3504618834, 3504619439]",CGN ➔ HER ➔ DUS,CGN,DUS,275.0,900.0,595.0,2,0.0,662.5
"[3504618964, 3504618821, 3504618863]",STR ➔ PMI ➔ CGN ➔ VRN,STR,VRN,280.0,915.0,605.0,3,0.0,642.5
"[3504618964, 3504618821, 3504619338]",STR ➔ PMI ➔ CGN ➔ (CGN🚌MUC) ➔ DUS,STR,DUS,280.0,935.0,625.0,3,92.4,738.7
"[3504618964, 3504618821]",STR ➔ PMI ➔ CGN,STR,CGN,280.0,705.0,395.0,2,0.0,492.5
"[3504618964, 3504619403, 3504619480]",STR ➔ PMI ➔ DUS ➔ OLB,STR,OLB,280.0,910.0,600.0,3,0.0,657.5
"[3504618964, 3504619403]",STR ➔ PMI ➔ DUS,STR,DUS,280.0,720.0,410.0,2,0.0,500.0
"[3504618964, 3504619245]",STR ➔ PMI ➔ HAM,STR,HAM,280.0,755.0,445.0,2,0.0,527.5
"[3504618964, 3504619405]",STR ➔ PMI ➔ DUS,STR,DUS,280.0,745.0,435.0,2,0.0,512.5
"[3504618964, 3504619407]",STR ➔ PMI ➔ DUS,STR,DUS,280.0,755.0,445.0,2,0.0,517.5
"[3504618964, 3504619248]",STR ➔ PMI ➔ HAM,STR,HAM,280.0,775.0,465.0,2,0.0,537.5
"[3504618964, 3504619409]",STR ➔ PMI ➔ DUS,STR,DUS,280.0,770.0,460.0,2,0.0,525.0
"[3504618974, 3504619275]",STR ➔ FAO ➔ HAM,STR,HAM,280.0,850.0,540.0,2,0.0,627.5
"[3504619240, 3504619245, 3504619278]",HAM ➔ PMI ➔ HAM ➔ VIE,HAM,VIE,285.0,945.0,630.0,3,0.0,685.0
"[3504619240, 3504619245, 3504619332]",HAM ➔ PMI ➔ HAM ➔ DUS,HAM,DUS,285.0,945.0,630.0,3,0.0,667.5
"[3504619240, 3504619245]",HAM ➔ PMI ➔ HAM,HAM,HAM,285.0,755.0,440.0,2,0.0,395.0
"[3504619240, 3504619405]",HAM ➔ PMI ➔ DUS,HAM,DUS,285.0,745.0,430.0,2,0.0,530.0
"[3504619240, 3504619407]",HAM ➔ PMI ➔ DUS,HAM,DUS,285.0,755.0,440.0,2,0.0,535.0
"[3504619240, 3504619248, 3504619278]",HAM ➔ PMI ➔ HAM ➔ VIE,HAM,VIE,285.0,945.0,630.0,3,0.0,685.0
"[3504619240, 3504619248, 3504619332]",HAM ➔ PMI ➔ HAM ➔ DUS,HAM,DUS,285.0,945.0,630.0,3,0.0,667.5
"[3504619240, 3504619248]",HAM ➔ PMI ➔ HAM,HAM,HAM,285.0,775.0,460.0,2,0.0,405.0
"[3504619240, 3504619409]",HAM ➔ PMI ➔ DUS,HAM,DUS,285.0,770.0,455.0,2,0.0,542.5
"[3504619240, 3504619257]",HAM ➔ PMI ➔ HAM,HAM,HAM,285.0,920.0,605.0,2,0.0,477.5
"[3504618962, 3504618821, 3504618863]",STR ➔ PMI ➔ CGN ➔ VRN,STR,VRN,290.0,915.0,595.0,3,0.0,637.5
"[3504618962, 3504618821, 3504619338]",STR ➔ PMI ➔ CGN ➔ (CGN🚌MUC) ➔ DUS,STR,DUS,290.0,935.0,615.0,3,92.4,733.7
"[3504618962, 3504618821]",STR ➔ PMI ➔ CGN,STR,CGN,290.0,705.0,385.0,2,0.0,487.5
"[3504618962, 3504619403, 3504619480]",STR ➔ PMI ➔ DUS ➔ OLB,STR,OLB,290.0,910.0,590.0,3,0.0,652.5
"[3504618962, 3504619403]",STR ➔ PMI ➔ DUS,STR,DUS,290.0,720.0,400.0,2,0.0,495.0
"[3504618962, 3504619245, 3504619278]",STR ➔ PMI ➔ HAM ➔ VIE,STR,VIE,290.0,945.0,625.0,3,0.0,662.5
"[3504618962, 3504619245, 3504619332]",STR ➔ PMI ➔ HAM ➔ DUS,STR,DUS,290.0,945.0,625.0,3,0.0,645.0
"[3504618962, 3504619245]",STR ➔ PMI ➔ HAM,STR,HAM,290.0,755.0,435.0,2,0.0,522.5
"[3504618962, 3504619405]",STR ➔ PMI ➔ DUS,STR,DUS,290.0,745.0,425.0,2,0.0,507.5
"[3504618962, 3504619407]",STR ➔ PMI ➔ DUS,STR,DUS,290.0,755.0,435.0,2,0.0,512.5
"[3504618962, 3504619248, 3504619278]",STR ➔ PMI ➔ HAM ➔ VIE,STR,VIE,290.0,945.0,625.0,3,0.0,662.5
"[3504618962, 3504619248, 3504619332]",STR ➔ PMI ➔ HAM ➔ DUS,STR,DUS,290.0,945.0,625.0,3,0.0,645.0
"[3504618962, 3504619248]",STR ➔ PMI ➔ HAM,STR,HAM,290.0,775.0,455.0,2,0.0,532.5
"[3504618962, 3504619409]",STR ➔ PMI ➔ DUS,STR,DUS,290.0,770.0,450.0,2,0.0,520.0
"[3504619229, 3504619231]",HAM ➔ AGP ➔ HAM,HAM,HAM,290.0,850.0,530.0,2,0.0,482.5
"[3504619229, 3504619385]",HAM ➔ AGP ➔ DUS,HAM,DUS,290.0,870.0,550.0,2,0.0,630.0
"[3504619402, 3504619403, 3504619480]",DUS ➔ PMI ➔ DUS ➔ OLB,DUS,OLB,290.0,910.0,590.0,3,0.0,662.5
"[3504619402, 3504619403]",DUS ➔ PMI ➔ DUS,DUS,DUS,290.0,720.0,400.0,2,0.0,355.0
"[3504619402, 3504619245, 3504619278]",DUS ➔ PMI ➔ HAM ➔ VIE,DUS,VIE,290.0,945.0,625.0,3,0.0,672.5
"[3504619402, 3504619245, 3504619332]",DUS ➔ PMI ➔ HAM ➔ DUS,DUS,DUS,290.0,945.0,625.0,3,0.0,505.0
"[3504619402, 3504619245]",DUS ➔ PMI ➔ HAM,DUS,HAM,290.0,755.0,435.0,2,0.0,532.5
"[3504619402, 3504619405]",DUS ➔ PMI ➔ DUS,DUS,DUS,290.0,745.0,425.0,2,0.0,367.5
"[3504619402, 3504619407]",DUS ➔ PMI ➔ DUS,DUS,DUS,290.0,755.0,435.0,2,0.0,372.5
"[3504619402, 3504619248, 3504619278]",DUS ➔ PMI ➔ HAM ➔ VIE,DUS,VIE,290.0,945.0,625.0,3,0.0,672.5
"[3504619402, 3504619248, 3504619332]",DUS ➔ PMI ➔ HAM ➔ DUS,DUS,DUS,290.0,945.0,625.0,3,0.0,505.0
"[3504619402, 3504619248]",DUS ➔ PMI ➔ HAM,DUS,HAM,290.0,775.0,455.0,2,0.0,542.5
"[3504619402, 3504619409]",DUS ➔ PMI ➔ DUS,DUS,DUS,290.0,770.0,450.0,2,0.0,380.0
"[3504619402, 3504619257]",DUS ➔ PMI ➔ HAM,DUS,HAM,290.0,920.0,600.0,2,0.0,615.0
"[3504618980, 3504618837]",STR ➔ ATH ➔ CGN,STR,CGN,295.0,800.0,475.0,2,0.0,575.0
"[3504618980, 3504619445]",STR ➔ ATH ➔ DUS,STR,DUS,295.0,870.0,545.0,2,0.0,615.0
"[3504619272, 3504619273, 3504619278]",HAM ➔ CFU ➔ HAM ➔ VIE,HAM,VIE,295.0,945.0,620.0,3,0.0,682.5
"[3504619272, 3504619273, 3504619332]",HAM ➔ CFU ➔ HAM ➔ DUS,HAM,DUS,295.0,945.0,620.0,3,0.0,665.0
"[3504619272, 3504619273]",HAM ➔ CFU ➔ HAM,HAM,HAM,295.0,765.0,440.0,2,0.0,397.5
[3504619274],HAM ➔ FAO,HAM,FAO,295.0,605.0,280.0,1,0.0,410.0
"[3504619276, 3504618978, 3504618941]",HAM ➔ HER ➔ STR ➔ NCE,HAM,NCE,295.0,955.0,630.0,3,0.0,712.5
"[3504619276, 3504619277]",HAM ➔ HER ➔ HAM,HAM,HAM,295.0,855.0,530.0,2,0.0,485.0
"[3504619276, 3504619439]",HAM ➔ HER ➔ DUS,HAM,DUS,295.0,900.0,575.0,2,0.0,655.0
"[3504619493, 3504619297, 3504619278]",DUS ➔ SPU ➔ HAM ➔ VIE,DUS,VIE,300.0,945.0,615.0,3,0.0,635.0
"[3504619493, 3504619297, 3504619332]",DUS ➔ SPU ➔ HAM ➔ DUS,DUS,DUS,300.0,945.0,615.0,3,0.0,467.5
"[3504619493, 3504619297]",DUS ➔ SPU ➔ HAM,DUS,HAM,300.0,740.0,410.0,2,0.0,487.5
"[3504618977, 3504618979, 3504618941]",STR ➔ SKG ➔ STR ➔ NCE,STR,NCE,300.0,955.0,625.0,3,0.0,657.5
"[3504618977, 3504619434, 3504619329]",STR ➔ SKG ➔ DUS ➔ GWT,STR,GWT,300.0,1000.0,670.0,3,0.0,682.5
"[3504618977, 3504619434]",STR ➔ SKG ➔ DUS,STR,DUS,300.0,815.0,485.0,2,0.0,557.5
"[3504618882, 3504619327, 3504619300]",CGN ➔ DBV ➔ BER ➔ GOT,CGN,GOT,300.0,940.0,610.0,3,0.0,632.5
"[3504618882, 3504619327, 3504618941]",CGN ➔ DBV ➔ BER ➔ (BER🚌STR) ➔ NCE,CGN,NCE,300.0,955.0,625.0,3,97.2,738.6
"[3504618882, 3504619327, 3504619334]",CGN ➔ DBV ➔ BER ➔ DUS,CGN,DUS,300.0,1000.0,670.0,3,0.0,652.5
"[3504618882, 3504619492, 3504619360]",CGN ➔ DBV ➔ DUS ➔ NCE,CGN,NCE,300.0,955.0,625.0,3,0.0,655.0
"[3504618882, 3504619492, 3504619356]",CGN ➔ DBV ➔ DUS ➔ DUB,CGN,DUB,300.0,960.0,630.0,3,0.0,657.5
"[3504618882, 3504619492, 3504619329]",CGN ➔ DBV ➔ DUS ➔ GWT,CGN,GWT,300.0,1000.0,670.0,3,0.0,655.0
"[3504618882, 3504619492]",CGN ➔ DBV ➔ DUS,CGN,DUS,300.0,790.0,460.0,2,0.0,517.5
"[3504618965, 3504618821, 3504618863]",STR ➔ PMI ➔ CGN ➔ VRN,STR,VRN,300.0,915.0,585.0,3,0.0,632.5
"[3504618965, 3504618821, 3504619360]",STR ➔ PMI ➔ CGN ➔ (CGN🚌DUS) ➔ NCE,STR,NCE,300.0,955.0,625.0,3,79.8,752.4
"[3504618965, 3504618821, 3504619356]",STR ➔ PMI ➔ CGN ➔ (CGN🚌DUS) ➔ DUB,STR,DUB,300.0,960.0,630.0,3,79.8,754.9
"[3504618965, 3504618821, 3504619338]",STR ➔ PMI ➔ CGN ➔ (CGN🚌MUC) ➔ DUS,STR,DUS,300.0,935.0,605.0,3,92.4,728.7
"[3504618965, 3504618821, 3504619329]",STR ➔ PMI ➔ CGN ➔ (CGN🚌DUS) ➔ GWT,STR,GWT,300.0,1000.0,670.0,3,79.8,752.4
"[3504618965, 3504618821]",STR ➔ PMI ➔ CGN,STR,CGN,300.0,705.0,375.0,2,0.0,482.5
"[3504618965, 3504619403, 3504619480]",STR ➔ PMI ➔ DUS ➔ OLB,STR,OLB,300.0,910.0,580.0,3,0.0,647.5
"[3504618965, 3504619403, 3504619360]",STR ➔ PMI ➔ DUS ➔ NCE,STR,NCE,300.0,955.0,625.0,3,0.0,662.5
"[3504618965, 3504619403, 3504619356]",STR ➔ PMI ➔ DUS ➔ DUB,STR,DUB,300.0,960.0,630.0,3,0.0,665.0
"[3504618965, 3504619403, 3504619329]",STR ➔ PMI ➔ DUS ➔ GWT,STR,GWT,300.0,1000.0,670.0,3,0.0,662.5
"[3504618965, 3504619403]",STR ➔ PMI ➔ DUS,STR,DUS,300.0,720.0,390.0,2,0.0,490.0
"[3504618965, 3504619245, 3504619278]",STR ➔ PMI ➔ HAM ➔ VIE,STR,VIE,300.0,945.0,615.0,3,0.0,657.5
"[3504618965, 3504619245, 3504619332]",STR ➔ PMI ➔ HAM ➔ DUS,STR,DUS,300.0,945.0,615.0,3,0.0,640.0
"[3504618965, 3504619245]",STR ➔ PMI ➔ HAM,STR,HAM,300.0,755.0,425.0,2,0.0,517.5
"[3504618965, 3504619405, 3504619360]",STR ➔ PMI ➔ DUS ➔ NCE,STR,NCE,300.0,955.0,625.0,3,0.0,662.5
"[3504618965, 3504619405, 3504619356]",STR ➔ PMI ➔ DUS ➔ DUB,STR,DUB,300.0,960.0,630.0,3,0.0,665.0
